,team_id,team,zone,perc_for,perc_against,classed,self_rank,opp_rank,biv_rank,season
0,120,Milan,1,0.5918367347,0.4081632653,team,0.2096774194,0.1290322581,1,2021/2022
1,120,Milan,2,0.5635179153,0.4364820847,team,0.5806451613,0.4516129032,8,2021/2022
2,120,Milan,3,0.5491071429,0.4508928571,contested,0.8064516129,0.8064516129,9,2021/2022
3,120,Milan,4,0.5255623722,0.4744376278,contested,0.8709677419,0.935483871,9,2021/2022
4,120,Milan,5,0.4607594937,0.5392405063,contested,0.6290322581,0.8709677419,9,2021/2022
5,120,Milan,6,0.4027777778,0.5972222222,opp,0.2096774194,0.3064516129,1,2021/2022
6,120,Milan,7,0.7051282051,0.2948717949,team,0.1612903226,0.064516129,1,2021/2022
7,120,Milan,8,0.5515873016,0.4484126984,team,0.3870967742,0.3870967742,1,2021/2022
8,120,Milan,9,0.5311653117,0.4688346883,contested,0.6774193548,0.6451612903,9,2021/2022
9,120,Milan,10,0.4582132565,0.5417867435,contested,0.5,0.7096774194,6,2021/2022
10,120,Milan,11,0.2891986063,0.7108013937,opp,0.2903225806,0.8387096774,3,2021/2022
11,120,Milan,12,0.3228346457,0.6771653543,opp,0.0483870968,0.3064516129,1,2021/2022
12,120,Milan,13,0.8157894737,0.1842105263,team,0.935483871,0.1935483871,7,2021/2022
13,120,Milan,14,0.6582278481,0.3417721519,team,0.9677419355,0.6129032258,9,2021/2022
14,120,Milan,15,0.6428571429,0.3571428571,team,0.9032258065,0.564516129,9,2021/2022
15,120,Milan,16,0.4826175869,0.5173824131,contested,0.7419354839,0.9677419355,9,2021/2022
16,120,Milan,17,0.443902439,0.556097561,opp,0.6290322581,0.9032258065,9,2021/2022
17,120,Milan,18,0.2346491228,0.7653508772,opp,0.3225806452,1.0,3,2021/2022
18,120,Milan,19,0.6781609195,0.3218390805,team,0.2580645161,0.0967741935,1,2021/2022
19,120,Milan,20,0.6737288136,0.3262711864,team,0.5,0.2580645161,4,2021/2022
20,120,Milan,21,0.6060606061,0.3939393939,team,0.7096774194,0.4193548387,7,2021/2022
21,120,Milan,22,0.5076923077,0.4923076923,contested,0.5483870968,0.564516129,6,2021/2022
22,120,Milan,23,0.4006514658,0.5993485342,opp,0.3548387097,0.6774193548,3,2021/2022
23,120,Milan,24,0.2957746479,0.7042253521,opp,0.0967741935,0.3548387097,1,2021/2022
24,120,Milan,25,0.4555555556,0.5444444444,contested,0.0483870968,0.1612903226,1,2021/2022
25,120,Milan,26,0.4965753425,0.5034246575,contested,0.4193548387,0.5161290323,2,2021/2022
26,120,Milan,27,0.5671981777,0.4328018223,team,0.8387096774,0.7419354839,9,2021/2022
27,120,Milan,28,0.546275395,0.453724605,contested,0.7741935484,0.7741935484,9,2021/2022
28,120,Milan,29,0.5117056856,0.4882943144,contested,0.4516129032,0.4838709677,5,2021/2022
29,120,Milan,30,0.3771929825,0.6228070175,opp,0.1290322581,0.2258064516,1,2021/2022
30,121,Roma,1,0.5398230088,0.4601769912,contested,0.1935483871,0.2580645161,1,2021/2022
31,121,Roma,2,0.4747774481,0.5252225519,contested,0.5483870968,0.5806451613,6,2021/2022
32,121,Roma,3,0.4108695652,0.5891304348,opp,0.6451612903,0.935483871,9,2021/2022
33,121,Roma,4,0.5134474328,0.4865525672,contested,0.7419354839,0.7096774194,9,2021/2022
34,121,Roma,5,0.4960629921,0.5039370079,contested,0.4193548387,0.4193548387,1,2021/2022
35,121,Roma,6,0.4395604396,0.5604395604,opp,0.1290322581,0.2258064516,1,2021/2022
36,121,Roma,7,0.8272727273,0.1727272727,team,0.3387096774,0.0967741935,1,2021/2022
37,121,Roma,8,0.5598455598,0.4401544402,team,0.4516129032,0.3870967742,4,2021/2022
38,121,Roma,9,0.4886075949,0.5113924051,contested,0.6774193548,0.7741935484,9,2021/2022
39,121,Roma,10,0.435828877,0.564171123,opp,0.5806451613,0.8064516129,9,2021/2022
40,121,Roma,11,0.3669724771,0.6330275229,opp,0.2580645161,0.4838709677,2,2021/2022
41,121,Roma,12,0.3977272727,0.6022727273,opp,0.0322580645,0.2903225806,1,2021/2022
42,121,Roma,13,0.8512658228,0.1487341772,team,0.9677419355,0.1612903226,7,2021/2022
43,121,Roma,14,0.5545023697,0.4454976303,team,0.8709677419,0.6451612903,9,2021/2022
44,121,Roma,15,0.5495867769,0.4504132231,contested,0.935483871,0.8387096774,9,2021/2022
45,121,Roma,16,0.4130879346,0.5869120654,opp,0.7096774194,0.9677419355,9,2021/2022
46,121,Roma,17,0.3693045564,0.6306954436,opp,0.4838709677,0.9032258065,6,2021/2022
47,121,Roma,18,0.2315521628,0.7684478372,opp,0.3387096774,1.0,3,2021/2022
48,121,Roma,19,0.8461538462,0.1538461538,team,0.2258064516,0.064516129,1,2021/2022
49,121,Roma,20,0.6275303644,0.3724696356,team,0.5161290323,0.3548387097,4,2021/2022
50,121,Roma,21,0.5827505828,0.4172494172,team,0.9032258065,0.6129032258,9,2021/2022
51,121,Roma,22,0.5307125307,0.4692874693,contested,0.7741935484,0.6774193548,9,2021/2022
52,121,Roma,23,0.3990825688,0.6009174312,opp,0.2903225806,0.4516129032,2,2021/2022
53,121,Roma,24,0.3162393162,0.6837606838,opp,0.0967741935,0.3225806452,1,2021/2022
54,121,Roma,25,0.6265060241,0.3734939759,team,0.1612903226,0.1290322581,1,2021/2022
55,121,Roma,26,0.5135951662,0.4864048338,contested,0.6129032258,0.5483870968,8,2021/2022
56,121,Roma,27,0.4955752212,0.5044247788,contested,0.8387096774,0.8709677419,9,2021/2022
57,121,Roma,28,0.5202863962,0.4797136038,contested,0.8064516129,0.7419354839,9,2021/2022
58,121,Roma,29,0.433460076,0.566539924,opp,0.3870967742,0.5161290323,2,2021/2022
59,121,Roma,30,0.4235294118,0.5764705882,opp,0.064516129,0.1935483871,1,2021/2022
60,123,Bologna,1,0.4786324786,0.5213675214,contested,0.1935483871,0.2580645161,1,2021/2022
61,123,Bologna,2,0.4568965517,0.5431034483,contested,0.5806451613,0.8064516129,9,2021/2022
62,123,Bologna,3,0.4486873508,0.5513126492,opp,0.6774193548,0.9677419355,9,2021/2022
63,123,Bologna,4,0.57771261,0.42228739,team,0.7419354839,0.5806451613,9,2021/2022
64,123,Bologna,5,0.5555555556,0.4444444444,team,0.4838709677,0.4838709677,5,2021/2022
65,123,Bologna,6,0.4819277108,0.5180722892,contested,0.1290322581,0.1451612903,1,2021/2022
66,123,Bologna,7,0.6589147287,0.3410852713,team,0.3225806452,0.1935483871,1,2021/2022
67,123,Bologna,8,0.5815602837,0.4184397163,team,0.6129032258,0.5483870968,8,2021/2022
68,123,Bologna,9,0.5202492212,0.4797507788,contested,0.6451612903,0.6129032258,9,2021/2022
69,123,Bologna,10,0.5346938776,0.4653061224,contested,0.4193548387,0.5161290323,2,2021/2022
70,123,Bologna,11,0.3764044944,0.6235955056,opp,0.2258064516,0.4516129032,2,2021/2022
71,123,Bologna,12,0.2950819672,0.7049180328,opp,0.0322580645,0.1451612903,1,2021/2022
72,123,Bologna,13,0.7967479675,0.2032520325,team,0.9677419355,0.3225806452,7,2021/2022
73,123,Bologna,14,0.5377128954,0.4622871046,contested,0.8709677419,0.8387096774,9,2021/2022
74,123,Bologna,15,0.5575620767,0.4424379233,team,0.935483871,0.8709677419,9,2021/2022
75,123,Bologna,16,0.4159779614,0.5840220386,opp,0.5161290323,0.9032258065,6,2021/2022
76,123,Bologna,17,0.42,0.58,opp,0.3870967742,0.7419354839,3,2021/2022
77,123,Bologna,18,0.1661129568,0.8338870432,opp,0.1612903226,1.0,3,2021/2022
78,123,Bologna,19,0.6959459459,0.3040540541,team,0.3548387097,0.2258064516,1,2021/2022
79,123,Bologna,20,0.6728395062,0.3271604938,team,0.8387096774,0.3548387097,7,2021/2022
80,123,Bologna,21,0.5485714286,0.4514285714,contested,0.7096774194,0.6451612903,9,2021/2022
81,123,Bologna,22,0.4904458599,0.5095541401,contested,0.5483870968,0.6774193548,6,2021/2022
82,123,Bologna,23,0.4293193717,0.5706806283,opp,0.2580645161,0.4032258065,1,2021/2022
83,123,Bologna,24,0.3731343284,0.6268656716,opp,0.064516129,0.0967741935,1,2021/2022
84,123,Bologna,25,0.5316455696,0.4683544304,contested,0.2903225806,0.2903225806,1,2021/2022
85,123,Bologna,26,0.5486486486,0.4513513514,contested,0.8064516129,0.7096774194,9,2021/2022
86,123,Bologna,27,0.4708624709,0.5291375291,contested,0.7741935484,0.935483871,9,2021/2022
87,123,Bologna,28,0.5731707317,0.4268292683,team,0.9032258065,0.7741935484,9,2021/2022
88,123,Bologna,29,0.5569105691,0.4430894309,team,0.4516129032,0.4032258065,4,2021/2022
89,123,Bologna,30,0.5277777778,0.4722222222,contested,0.0967741935,0.064516129,1,2021/2022
90,125,Fiorentina,1,0.57,0.43,team,0.1290322581,0.1612903226,1,2021/2022
91,125,Fiorentina,2,0.5381526104,0.4618473896,contested,0.3225806452,0.5806451613,3,2021/2022
92,125,Fiorentina,3,0.5726256983,0.4273743017,team,0.5322580645,0.8064516129,6,2021/2022
93,125,Fiorentina,4,0.671875,0.328125,team,0.7419354839,0.6612903226,9,2021/2022
94,125,Fiorentina,5,0.6193353474,0.3806646526,team,0.5322580645,0.6612903226,6,2021/2022
95,125,Fiorentina,6,0.503649635,0.496350365,contested,0.1935483871,0.2903225806,1,2021/2022
96,125,Fiorentina,7,0.6725663717,0.3274336283,team,0.2258064516,0.0967741935,1,2021/2022
97,125,Fiorentina,8,0.6963562753,0.3036437247,team,0.4516129032,0.3225806452,4,2021/2022
98,125,Fiorentina,9,0.7428571429,0.2571428571,team,0.7096774194,0.3548387097,7,2021/2022
99,125,Fiorentina,10,0.6609195402,0.3390804598,team,0.6451612903,0.6129032258,9,2021/2022
100,125,Fiorentina,11,0.5544554455,0.4455445545,team,0.4193548387,0.7419354839,3,2021/2022
101,125,Fiorentina,12,0.358778626,0.641221374,opp,0.0967741935,0.3870967742,1,2021/2022
102,125,Fiorentina,13,0.8292682927,0.1707317073,team,0.7741935484,0.2258064516,7,2021/2022
103,125,Fiorentina,14,0.8144927536,0.1855072464,team,0.8387096774,0.2580645161,7,2021/2022
104,125,Fiorentina,15,0.7894736842,0.2105263158,team,0.9677419355,0.5161290323,8,2021/2022
105,125,Fiorentina,16,0.6042553191,0.3957446809,team,0.8709677419,0.9193548387,9,2021/2022
106,125,Fiorentina,17,0.4498977505,0.5501022495,opp,0.6129032258,0.9677419355,9,2021/2022
107,125,Fiorentina,18,0.1986183074,0.8013816926,opp,0.2903225806,1.0,3,2021/2022
108,125,Fiorentina,19,0.6931818182,0.3068181818,team,0.1612903226,0.064516129,1,2021/2022
109,125,Fiorentina,20,0.769874477,0.230125523,team,0.4838709677,0.1935483871,4,2021/2022
110,125,Fiorentina,21,0.7168831169,0.2831168831,team,0.8064516129,0.5483870968,8,2021/2022
111,125,Fiorentina,22,0.6143617021,0.3856382979,team,0.6774193548,0.7741935484,9,2021/2022
112,125,Fiorentina,23,0.4608695652,0.5391304348,contested,0.3870967742,0.9193548387,3,2021/2022
113,125,Fiorentina,24,0.3021582734,0.6978417266,opp,0.0322580645,0.4677419355,2,2021/2022
114,125,Fiorentina,25,0.5227272727,0.4772727273,contested,0.064516129,0.1290322581,1,2021/2022
115,125,Fiorentina,26,0.5872340426,0.4127659574,team,0.3548387097,0.4677419355,2,2021/2022
116,125,Fiorentina,27,0.6156069364,0.3843930636,team,0.5806451613,0.7096774194,9,2021/2022
117,125,Fiorentina,28,0.6534216336,0.3465783664,team,0.9032258065,0.8387096774,9,2021/2022
118,125,Fiorentina,29,0.6329113924,0.3670886076,team,0.935483871,0.8709677419,9,2021/2022
119,125,Fiorentina,30,0.4836956522,0.5163043478,contested,0.2580645161,0.4193548387,1,2021/2022
120,126,Verona,1,0.3596491228,0.6403508772,opp,0.1290322581,0.2580645161,1,2021/2022
121,126,Verona,2,0.4351464435,0.5648535565,opp,0.5483870968,0.5161290323,5,2021/2022
122,126,Verona,3,0.4132947977,0.5867052023,opp,0.8064516129,0.9032258065,9,2021/2022
123,126,Verona,4,0.431085044,0.568914956,opp,0.8387096774,0.8709677419,9,2021/2022
124,126,Verona,5,0.4058577406,0.5941422594,opp,0.4516129032,0.5967741935,6,2021/2022
125,126,Verona,6,0.4473684211,0.5526315789,opp,0.1612903226,0.1612903226,1,2021/2022
126,126,Verona,7,0.6063829787,0.3936170213,team,0.2258064516,0.0967741935,1,2021/2022
127,126,Verona,8,0.5387931034,0.4612068966,contested,0.6129032258,0.3870967742,7,2021/2022
128,126,Verona,9,0.4872727273,0.5127272727,contested,0.7096774194,0.5483870968,8,2021/2022
129,126,Verona,10,0.4593639576,0.5406360424,contested,0.6451612903,0.7096774194,9,2021/2022
130,126,Verona,11,0.3574660633,0.6425339367,opp,0.3225806452,0.5967741935,3,2021/2022
131,126,Verona,12,0.2727272727,0.7272727273,opp,0.0322580645,0.2258064516,1,2021/2022
132,126,Verona,13,0.7426900585,0.2573099415,team,0.9677419355,0.3225806452,7,2021/2022
133,126,Verona,14,0.5469168901,0.4530831099,contested,0.935483871,0.7741935484,9,2021/2022
134,126,Verona,15,0.5078534031,0.4921465969,contested,0.9032258065,0.8225806452,9,2021/2022
135,126,Verona,16,0.375,0.625,opp,0.7741935484,0.935483871,9,2021/2022
136,126,Verona,17,0.2865329513,0.7134670487,opp,0.4838709677,0.9677419355,6,2021/2022
137,126,Verona,18,0.1639784946,0.8360215054,opp,0.2903225806,1.0,3,2021/2022
138,126,Verona,19,0.5321100917,0.4678899083,contested,0.2580645161,0.1290322581,1,2021/2022
139,126,Verona,20,0.5108695652,0.4891304348,contested,0.4193548387,0.3548387097,1,2021/2022
140,126,Verona,21,0.4858156028,0.5141843972,contested,0.7419354839,0.6451612903,9,2021/2022
141,126,Verona,22,0.4431818182,0.5568181818,opp,0.5806451613,0.6774193548,9,2021/2022
142,126,Verona,23,0.4027149321,0.5972850679,opp,0.3548387097,0.4838709677,2,2021/2022
143,126,Verona,24,0.3166666667,0.6833333333,opp,0.064516129,0.2903225806,1,2021/2022
144,126,Verona,25,0.5909090909,0.4090909091,team,0.0967741935,0.064516129,1,2021/2022
145,126,Verona,26,0.4509803922,0.5490196078,contested,0.3870967742,0.4193548387,1,2021/2022
146,126,Verona,27,0.4106583072,0.5893416928,opp,0.6774193548,0.8225806452,9,2021/2022
147,126,Verona,28,0.5,0.5,contested,0.8709677419,0.7419354839,9,2021/2022
148,126,Verona,29,0.4618834081,0.5381165919,contested,0.5161290323,0.4516129032,5,2021/2022
149,126,Verona,30,0.4369747899,0.5630252101,opp,0.1935483871,0.1935483871,1,2021/2022
150,127,Internazionale,1,0.5512820513,0.4487179487,team,0.1129032258,0.1290322581,1,2021/2022
151,127,Internazionale,2,0.5223463687,0.4776536313,contested,0.5161290323,0.6451612903,6,2021/2022
152,127,Internazionale,3,0.4401544402,0.5598455598,opp,0.6451612903,0.9677419355,9,2021/2022
153,127,Internazionale,4,0.5175983437,0.4824016563,contested,0.7741935484,0.8709677419,9,2021/2022
154,127,Internazionale,5,0.5042253521,0.4957746479,contested,0.4838709677,0.6774193548,6,2021/2022
155,127,Internazionale,6,0.5,0.5,contested,0.1612903226,0.2258064516,1,2021/2022
156,127,Internazionale,7,0.7259259259,0.2740740741,team,0.2580645161,0.1612903226,1,2021/2022
157,127,Internazionale,8,0.7,0.3,team,0.6774193548,0.3870967742,7,2021/2022
158,127,Internazionale,9,0.5863746959,0.4136253041,team,0.7419354839,0.6129032258,9,2021/2022
159,127,Internazionale,10,0.4296875,0.5703125,opp,0.4193548387,0.8064516129,3,2021/2022
160,127,Internazionale,11,0.3796610169,0.6203389831,opp,0.3225806452,0.7419354839,3,2021/2022
161,127,Internazionale,12,0.3148148148,0.6851851852,opp,0.064516129,0.2903225806,1,2021/2022
162,127,Internazionale,13,0.8461538462,0.1538461538,team,0.935483871,0.2580645161,7,2021/2022
163,127,Internazionale,14,0.790960452,0.209039548,team,0.9677419355,0.4193548387,7,2021/2022
164,127,Internazionale,15,0.6511627907,0.3488372093,team,0.9032258065,0.7096774194,9,2021/2022
165,127,Internazionale,16,0.47,0.53,contested,0.7096774194,0.9032258065,9,2021/2022
166,127,Internazionale,17,0.4141630901,0.5858369099,opp,0.564516129,0.935483871,9,2021/2022
167,127,Internazionale,18,0.2463157895,0.7536842105,opp,0.3548387097,1.0,3,2021/2022
168,127,Internazionale,19,0.7619047619,0.2380952381,team,0.2258064516,0.064516129,1,2021/2022
169,127,Internazionale,20,0.7390029326,0.2609970674,team,0.8064516129,0.3548387097,7,2021/2022
170,127,Internazionale,21,0.6363636364,0.3636363636,team,0.8709677419,0.5161290323,8,2021/2022
171,127,Internazionale,22,0.5115606936,0.4884393064,contested,0.4516129032,0.5806451613,6,2021/2022
172,127,Internazionale,23,0.444,0.556,opp,0.2903225806,0.4838709677,2,2021/2022
173,127,Internazionale,24,0.2920353982,0.7079646018,opp,0.0322580645,0.3225806452,1,2021/2022
174,127,Internazionale,25,0.6363636364,0.3636363636,team,0.1935483871,0.0967741935,1,2021/2022
175,127,Internazionale,26,0.5610465116,0.4389534884,team,0.564516129,0.5483870968,8,2021/2022
176,127,Internazionale,27,0.5255623722,0.4744376278,contested,0.8387096774,0.8387096774,9,2021/2022
177,127,Internazionale,28,0.5128805621,0.4871194379,contested,0.6129032258,0.7741935484,9,2021/2022
178,127,Internazionale,29,0.5494880546,0.4505119454,contested,0.3870967742,0.4516129032,2,2021/2022
179,127,Internazionale,30,0.4574468085,0.5425531915,contested,0.1129032258,0.1935483871,1,2021/2022
180,128,Juventus,1,0.4964028777,0.5035971223,contested,0.1612903226,0.2580645161,1,2021/2022
181,128,Juventus,2,0.4116161616,0.5883838384,opp,0.4838709677,0.8387096774,6,2021/2022
182,128,Juventus,3,0.4296160878,0.5703839122,opp,0.7419354839,1.0,9,2021/2022
183,128,Juventus,4,0.5287356322,0.4712643678,contested,0.7096774194,0.5806451613,9,2021/2022
184,128,Juventus,5,0.4652777778,0.5347222222,contested,0.4032258065,0.4193548387,1,2021/2022
185,128,Juventus,6,0.421686747,0.578313253,opp,0.064516129,0.1290322581,1,2021/2022
186,128,Juventus,7,0.7364341085,0.2635658915,team,0.3225806452,0.0967741935,1,2021/2022
187,128,Juventus,8,0.6101190476,0.3898809524,team,0.6451612903,0.3548387097,7,2021/2022
188,128,Juventus,9,0.525987526,0.474012474,contested,0.8064516129,0.8064516129,9,2021/2022
189,128,Juventus,10,0.443627451,0.556372549,opp,0.5161290323,0.7741935484,6,2021/2022
190,128,Juventus,11,0.3442622951,0.6557377049,opp,0.2580645161,0.4516129032,2,2021/2022
191,128,Juventus,12,0.2692307692,0.7307692308,opp,0.0322580645,0.2903225806,1,2021/2022
192,128,Juventus,13,0.8666666667,0.1333333333,team,0.9677419355,0.1935483871,7,2021/2022
193,128,Juventus,14,0.6229508197,0.3770491803,team,0.9032258065,0.5483870968,8,2021/2022
194,128,Juventus,15,0.5617173524,0.4382826476,team,0.935483871,0.8709677419,9,2021/2022
195,128,Juventus,16,0.3732718894,0.6267281106,opp,0.4516129032,0.9032258065,6,2021/2022
196,128,Juventus,17,0.374301676,0.625698324,opp,0.4032258065,0.7419354839,3,2021/2022
197,128,Juventus,18,0.2066326531,0.7933673469,opp,0.2258064516,0.9677419355,3,2021/2022
198,128,Juventus,19,0.7606837607,0.2393162393,team,0.2903225806,0.064516129,1,2021/2022
